place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Ur,Iron,0,-2500,34242,,"46,01667","30,9"
A-881561,H4,"836,87",1988,4141,01.01.1988 00:00,26,-72
Wietrzno-Bobrka,Iron,376,-600,6037,,"21,7","49,41667"
A-881448,H4,"341,27",1988,6340,01.01.1988 00:00,26,-72
A-881813,L6,"296,96",1988,6753,01.01.1988 00:00,26,-72
A-881637,L3,"195,62",1988,8147,01.01.1988 00:00,26,-72
A-881993,L6,"144,89",1988,9211,01.01.1988 00:00,26,-72
A-881363,L4,"105,42",1988,10471,01.01.1988 00:00,26,-72
A-9034,L6,"75,15",1990,11885,01.01.1990 00:00,26,-72
A-881246,H4,"57,07",1988,13071,01.01.1988 00:00,26,-72
A-87025,H4,"53,52",1987,13361,01.01.1987 00:00,26,-72
A-881064,L6,"53,29",1988,13387,01.01.1988 00:00,26,-72
A-87119,L5,"39,19",1987,14831,01.01.1987 00:00,26,-72
A-87208,H5,"37,65",1987,15018,01.01.1987 00:00,26,-72
A-880742,H4,"37,14",1988,15082,01.01.1988 00:00,26,-72
A-881998,H4,"33,47",1988,15597,01.01.1988 00:00,26,-72
A-87139,L6,"29,69",1987,16195,01.01.1987 00:00,26,-72
A-881555,LL6,"27,34",1988,16606,01.01.1988 00:00,26,-72
A-881432,LL6,"22,82",1988,17575,01.01.1988 00:00,26,-72
A-880969,H6,"16,62",1988,19356,01.01.1988 00:00,26,-72
A-87122,Eucrite,"15,9",1987,19583,01.01.1987 00:00,26,-72
A-880036,L6,"14,34",1988,20155,01.01.1988 00:00,26,-72
A-881366,L6,"13,33",1988,20588,01.01.1988 00:00,26,-72
A-880755,H4,"11,9",1988,21244,01.01.1988 00:00,26,-72
A-881752,H5,"10,57",1988,21940,01.01.1988 00:00,26,-72
QUE 97109,LL5,"2,7",1997,28920,01.01.1997 00:00,168,-84
Havana,"Iron, IAB complex",0,-300,34243,,"-90,05","40,33333"
Lucania,Doubtful Iron,0,-56,34244,,16,"40,5"
Angers,L6,0,1822,34310,1822-01-01 00:00:00,"-0,55","47,46667"
Itapuranga,"Iron, IAB-MG",628000,,68,,"-50,15","-15,58333"
Guixi,"Iron, IIIAB",220000,,149,,"117,18333","28,28333"
Moshesh,H,200000,,163,,"28,71667","-30,1"
Camp Wood,"Iron, IIIAB",148000,,200,,"-99,875","29,7725"
Karavannoe,"Pallasite, PES",132000,,219,,"47,67967","57,78117"
Wiltshire,H5,92750,,286,,"-1,81","51,14967"
NWA 055,L4,42000,,503,,"-3,03333","32,05"
Valencia,H5,33500,,581,,"-0,03333",39
NWA 059,H3.9/4,27000,,662,,"-2,93333","31,83333"
Apache Junction,"Iron, IIIAB",25000,,707,,"-111,51667","33,45"
RaS 428,L6,16247,,924,,"56,32694","20,10361"
Um-Hadid,Mesosiderite,15400,,957,,"50,59667","21,695"
Squaw Creek,"Iron, IIAB",14500,,987,,-98,32
NWA 725,Acapulcoite,3824,,2007,,"-5,05","30,6"
Hughes 003,H5,3200,,2198,,"129,4","-30,23333"
Fuzzy Creek,"Iron, IVA",2700,,2372,,"-99,90417","31,61111"
JaH 719,L6,2144,,2628,,"55,73472","19,66056"
JaH 723,H4,1876,,2820,,"55,57917","19,64056"
Sumampa,Pseudometeorite,"1710,5",,2947,,"-63,35","-29,33333"
Dho 1744,H5,1414,,3220,,"54,58583","19,14972"
JaH 733,H6,1296,,3360,,"56,21417","19,56056"
JaH 761,H5,1251,,3404,,"56,39194","19,945"
JaH 764,L5,1236,,3430,,"56,48167","19,80639"
NWA 724,LL3,1200,,3488,,"-5,86667","30,23333"
JaH 791,L6,1194,,3493,,"55,70389","19,72861"
NWA 050,H5,1145,,3552,,"-5,58333","29,91667"
JaH 742,L4,1144,,3553,,"56,46972","19,82694"
JaH 737,L5,1137,,3563,,"56,40333","19,7675"
NWA 058,L6,1091,,3626,,"-9,5","27,16667"
Hughes 002,L6,1074,,3645,,"129,63333","-30,56667"
JaH 730,L4,1040,,3713,,"55,5825","19,635"
JaH 729,L5,951,,3891,,"55,56333","19,66278"
JaH 790,L6,868,,4067,,"55,73306","19,70444"
JaH 721,H5,859,,4085,,"55,68306","19,68722"
Dho 1738,L5,853,,4097,,"54,90694","19,32694"
HaH 260,L6,530,,5096,,"12,94717","28,613"
Elizabeth,"Iron, IAB-ung",732,,4394,,"-90,221","42,318"
JaH 739,L4,587,,4869,,"56,43583","19,83278"
JaH 783,L4,"553,5",,4999,,"56,42056","19,84306"
JaH 782,L4,532,,5087,,"56,54472","19,79778"
JaH 726,L6,507,,5193,,"55,25472","19,69833"
JaH 738,H5,469,,5396,,"56,39778","19,76806"
Fengzhen,"Iron, IIIAB",458,,5443,,113,"40,5"
NWA 056,H5,436,,5591,,"-9,5","27,16667"
JaH 793,L5,420,,5691,,"55,95778","19,92944"
NWA 2036,EL6,390,,5920,,"-5,76667","31,59167"
NWA 053,R4,390,,5921,,"-3,03333","32,05"
JaH 794,L5,387,,5955,,"55,98778","19,96944"
JaH 751,L5,378,,6026,,"56,44722","19,82889"
JaH 734,L4,371,,6080,,"56,43056","19,18222"
NWA 057,H5,370,,6090,,"-9,5","27,16667"
JaH 778,L4,367,,6119,,"56,4375","19,83028"
JaH 740,L4,354,,6234,,"56,48472","19,78917"
NWA 726,H4,354,,6235,,-4,"31,03333"
JaH 792,H6,353,,6244,,"55,9325","19,81889"
JaH 759,L5,347,,6296,,"55,71917","19,71556"
NWA 051,L4,330,,6445,,"-5,58333","29,91667"
NWA 054,LL5,305,,6668,,"-3,03333","32,05"
JaH 658,Unknown,303,,6688,,"55,17693","19,10548"
JaH 727,L6,301,,6702,,"55,755","19,69889"
JaH 722,H5,291,,6811,,"55,63611","19,67417"
JaH 758,L6,271,,7026,,"55,6875","19,77472"
JaH 750,L5,269,,7048,,"56,46556","19,82306"
Colonia Suiza,Pseudometeorite,250,,7290,,"-71,38333","-41,18333"
JaH 797,L5,249,,7299,,"55,57111","19,73306"
JaH 786,L5,227,,7620,,"55,88722","19,84139"
JaH 789,L6,227,,7621,,"55,74222","19,70639"
Dho 911,Lunar (anorth),194,,8177,,"54,77667","19,33167"
JaH 784,H4,182,,8408,,"56,42083","19,84333"
JaH 757,LL5,178,,8484,,"55,70944","19,72139"
JaH 752,L5,174,,8562,,"56,44056","19,82361"
JaH 720,H4,172,,8609,,"55,68361","19,68611"
JaH 781,L4,169,,8665,,"56,43361","19,7975"
JaH 732,L5,154,,8998,,"56,22694","19,69611"
JA 003,L5,148,,9141,,"56,42611","18,96889"
Dho 910,Lunar (anorth),142,,9275,,"54,7789","19,33173"
JaH 774,L4,131,,9585,,"56,42222","19,81111"
JaH 777,L4,130,,9625,,"56,445","19,82"
Dho 1739,H4,130,,9626,,"54,89417","19,17694"
Dho 1618,Unknown,"129,8",,9632,,"54,86961","19,35514"
Sleeper Camp 005,H5,129,,9656,,"126,29233","-30,17367"
Dho 1750,H5,123,,9840,,"54,61472","19,18639"
JaH 788,H4,108,,10372,,"55,71778","19,73361"
JaH 743,L4,105,,10502,,"56,48194","19,83028"
RaS 426,H4,92,,11053,,"56,3975","20,11306"
JaH 767,L4,91,,11090,,"56,51083","19,81083"
Espiritu Santo,"Iron, IIIAB",89,,11189,,"-102,18333",20
Dho 1752,H5,88,,11242,,"54,74583","19,23722"
JaH 776,L4,85,,11369,,"56,49028","19,81639"
Dho 1743,L4,84,,11408,,"54,87944","19,06083"
Dho 1747,H5,81,,11576,,"54,50917","19,05556"
Shi��r 173,Unknown,"74,6",,11912,,"53,90467","18,63578"
JaH 756,L5,74,,11956,,"56,45389","19,85944"
JaH 766,L4,73,,12007,,"56,49083","19,81222"
JaH 731,H4,"72,3",,12035,,"55,57056","19,56778"
JaH 728,H4,69,,12247,,"55,69806","19,68111"
Dho 1741,H5,66,,12456,,"54,82167","19,10778"
JaH 768,L4,64,,12577,,"56,51056","19,81111"
R�_o Cuarto 001,Eucrite,"62,7",,12665,,"-64,22333","-32,87167"
JaH 763,L5,62,,12721,,"56,44167","19,84389"
JaH 779,L4,57,,13086,,"56,44389","19,84528"
JaH 754,L5,51,,13602,,"56,46056","19,84917"
JaH 725,L5,49,,13788,,"55,75528","19,74806"
JaH 760,H5,49,,13789,,"55,59361","19,68194"
JaH 762,L5,46,,14074,,"56,43611","19,84861"
JaH 765,H4,45,,14191,,"56,46917","19,80333"
Kurumi,Pseudometeorite,44,,14305,,"135,11667","34,68333"
JaH 771,L4,"40,3",,14697,,"56,51194","19,81167"
JaH 772,H4,"39,6",,14785,,"56,51056","19,81194"
JaH 747,L5,"37,9",,14996,,"56,43639","19,84972"
JaH 785,L6,"36,7",,15161,,"56,32667","19,99694"
JaH 769,L4,"36,5",,15194,,"56,51139","19,81111"
Dho 1749,H5,"35,3",,15352,,"54,75667","19,16083"
Dho 1748,H5,"34,4",,15463,,"54,57556","19,07611"
JaH 753,L5,"34,2",,15498,,"56,45917","19,8475"
JaH 735,H6,"33,4",,15607,,"56,30389","19,50583"
JaH 749,L5,33,,15663,,"56,44139","19,84806"
